Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen
6.57,NA,4.13,1.4,9.23,6.53
5.66,3.34,4.12,1.19,14.65,8.5
5.79,3.1,2.51,0.58,2.86,9.49
5.34,3.21,2.27,0.43,6.09,9.27
5.29,3.45,1.95,0.3,7.62,2.13
6.36,3.17,3.87,1.1,4.78,0.75
5.19,2.77,2.01,0.52,1.23,NA
5.8,3.56,2.85,0.72,7.97,8.02
5.22,NA,3.39,1.11,1.88,NA
8.03,2.72,6.83,2.16,7.02,7.34
5.1,3.37,2.73,0.74,8.63,1.76
5.72,NA,4.35,1.23,10.14,12.27
5.22,NA,4.14,1.42,1.23,NA
5.14,NA,2.01,0.65,9.33,13.12
5.84,2.97,3.63,1.08,1.97,8.21
6.24,2.84,6.31,2.94,0.16,10.76
6.22,3.95,4.45,1.98,10.26,7.32
6.37,3.09,3.67,1.11,9.59,5.74
5.41,3.03,2.95,1.13,4.03,1.95
4.47,3.56,0.14,0.42,8.04,3.77
6.24,2.37,5.83,2.17,1.56,5.81
4.55,3.06,1.18,0.28,4.4,7.13
6.64,2.62,4.94,1.71,4.63,5.87
7.74,3.28,6.94,2.68,3.88,5.29
4.5,3.57,1.22,0.45,7.94,6.73
6.45,3.06,5.03,1.58,11.15,3.9
5.74,3.08,3.23,1.06,3.18,NA
4.85,NA,0.88,0.27,4.87,0.18
4.44,NA,1.1,0.31,11.55,9.39
5.28,3.41,0.78,0.22,3.68,6.19
5.47,NA,2.82,0.81,5.42,5.67
4.36,NA,1.26,0.38,7.06,3.04
6.41,NA,4.88,1.97,1.45,NA
7.16,NA,7.5,2.85,1.01,NA
5.15,3.92,1.46,0.22,10.68,1.8
7.52,3.75,4.9,1.46,14.79,1.68
6.15,2.87,5.26,1.68,0.84,NA
5.93,2.59,4.47,1.22,9.12,6.5
5.25,NA,1.96,0.36,4.62,1.53
5.35,NA,3.74,1.06,5.57,10.66
6.11,3.42,3.27,0.58,9.89,8.5
6.31,3,4.66,1.78,5.85,8.97
6.1,NA,2.99,0.85,1.59,NA
6.09,2.56,5.72,1.76,3.12,NA
4.66,NA,3.3,1.26,7.74,5.61
6.51,2.25,5.58,2.01,4.34,7.62
5.01,3.32,1.87,0.59,9.38,9.2
4.95,3.25,1.5,0.31,1.27,12.36
8.84,2.94,9.24,3.63,5.09,3.96
5.16,2.96,3.16,0.9,4.24,1.94
6.33,2.87,4.19,1.34,10.17,6.4
6.71,2.99,4.84,1.38,5.76,18.09
6.02,NA,2.77,0.72,5.41,4.29
6.15,3.26,4.52,2.09,7.79,10.58
6.43,NA,4.26,1.56,1.69,NA
5.8,3.26,3.29,1.17,4.22,4.09
6.26,NA,3.85,1.04,9.71,3.16
5.16,2.57,3.91,1.22,7.73,5.16
7.7,2.42,7.32,2.89,0.1,12.57
4.7,3.05,2.65,0.74,7.55,7.21
5.79,4.27,1.6,0.41,0.51,7.95
6.19,3.03,3.7,1.19,2.61,NA
6.33,3.21,4.17,1.53,9.84,14.29
6.5,3.49,4.36,1.71,4,9.1
4.9,2.68,3.11,0.99,2.12,0.29
5.23,4.04,1.86,0.49,10.21,1.87
6.76,2.64,6.02,2.01,1.74,NA
5.08,3.04,3.3,1.04,9.97,5.39
5,NA,2.22,0.8,4.33,11.16
6.03,3.33,3.18,1.1,6.71,4.03
5.65,2.48,3.31,1.19,8.25,7.58
6.81,NA,5.68,1.9,2.4,NA
6.13,3.54,3.89,1.19,3.78,3.95
6.91,3.36,4.89,1.81,3.34,5.46
4.55,2.65,3.03,1.29,16.26,7.4
6.12,NA,4.11,1.39,5.5,6.9
6.19,3.8,3.14,0.65,6.89,2.9
5.95,2.64,3.89,1.22,3.64,8.92
5.23,2.95,2.11,0.59,4.03,8.18
5.24,3.84,1.36,0.2,10.52,4.85
8.06,3.31,7.06,2.59,3.64,NA
6.23,3.09,4.84,1.68,5.08,8.53
4.63,2.78,1.59,0.35,6.51,11.71
5.19,NA,2.74,0.74,3.27,NA
5.22,3.34,1.64,0.16,12.84,9.49
7.44,NA,7.59,3.09,0.71,NA
6.66,2.8,6.12,2.19,13.05,3.87
5.53,3.11,3.35,0.98,3.59,3.65
6.3,2.47,4.76,1.33,10.43,4.35
5.56,3.38,3.01,0.98,3,NA
5.38,2.64,2.96,0.75,8.82,7.03
5.75,3.27,2.17,0.63,8.51,1.43
5.29,NA,2.8,0.73,0.08,NA
6.89,NA,6.73,2.35,1.93,NA
5.8,NA,3.66,1,5.77,6.6
6.36,3.94,3.71,1.69,9.58,3.23
6.4,NA,4.11,1.07,1.94,NA
6.47,NA,5.99,2.22,4.1,6.11
5.75,3.85,2.77,0.88,11.29,11.85
5.07,NA,2.01,0.44,0.49,NA
7.33,3.09,6.58,2.59,8.79,0.98
5.11,2.85,3.09,0.96,6.8,1.68
4.97,3.16,2.54,0.86,0.58,NA
4.61,3.07,1.64,0.42,2.33,7.32
4.92,3.16,1.45,0.3,8.13,4.72
5.04,NA,2.76,1.08,6,0.45
5.74,2.57,4.96,1.86,10.7,3.48
6.18,2,5.87,1.94,2.59,3.76
6.67,2.64,4.87,1.67,1.86,5.19
6.28,NA,2.92,0.89,9.19,12.49
6,2.91,3.74,1.39,2.57,NA
5.41,2.94,2.52,0.53,5.48,6.31
5.38,3.22,2.44,0.75,11.88,3.18
6.46,2.55,5.45,1.49,4,1.04
4.73,2.9,2.07,0.5,11.2,8.54
7.56,2.8,7.15,2.52,0.61,1.8
5.68,3.38,3.65,1.18,8.7,16.94
5.43,3.33,4.3,1.62,5.99,6.37
5.67,NA,2.32,0.61,2.05,NA
5.26,NA,2.71,1.05,0.12,NA
5.3,4.19,1.38,0.13,5.31,13.37
6.1,NA,3.31,1.06,6.02,8.66
6.6,3.44,4.46,1.26,6.11,5
6.05,NA,4.37,1.52,7.15,1.34
5.84,3.08,2.24,0.35,3.16,1.85
5.2,2.98,2.44,0.45,2.95,2.86
5.43,2.5,2.85,0.76,5.95,10.86
6.97,NA,6.36,2.49,2.83,NA
5.38,3.56,1.63,0.36,9.88,2.97
6.11,3.4,3.38,0.89,5.7,9.17
6.82,3.47,7.23,2.94,2.54,11.38
5.9,3.11,3.49,1.21,2.23,NA
4.76,3.03,1.38,0.18,2.43,4.22
5.39,3.35,2.58,0.72,13.18,7.38
7.14,3.45,4.4,1.25,2.76,5.98
5.58,NA,3,1.15,1.66,NA
5.02,NA,2.92,0.73,7.61,12.86
5.09,2.8,3.32,0.97,6.77,5.76
6.3,NA,3.87,1.01,8.01,4.88
7.62,3.24,6.54,1.98,3.89,7.94
5.14,2.03,3.74,1.22,9.49,5.8
6.83,NA,5.62,1.89,0.31,NA
6.14,3.19,4.87,1.88,4.8,5.1
5.36,3.19,3.63,1.37,2.18,NA
5.23,3.9,0.95,0.07,7.72,0.25
5.71,3.39,2.83,0.64,5.52,6.06
6.07,3.6,2.69,0.83,9.44,3.94
6.02,3.38,3.89,1.05,13.23,1.24
6.78,2.78,6.03,2.23,5.56,4.35
7.9,3.24,7.75,2.79,2.86,7.49
6.94,2.44,6.5,2.28,1.71,6.37
5.75,2.87,3.58,0.9,3.95,NA
4.61,3.91,0.65,0.01,4.72,9.76
5.66,NA,2.95,1.04,12.97,9.31
5.65,2.79,3.94,1.42,0.48,4.7
6.03,2.63,5.49,1.6,0.63,0.69
6.79,NA,5.41,1.77,3.37,NA
6.26,NA,5,1.74,7.35,10.68
4.75,NA,1.38,0.06,8.28,5.51
5.79,2.61,5.39,2.12,1.37,0.55
5.13,2.74,3.06,0.95,5.51,7.97
5.74,2.69,4.15,1.27,4.83,7.13
6.04,3.1,3.72,1.52,9.78,4.4
6.12,NA,4.69,1.09,9.36,6.69
5.91,2.73,3.76,1.2,3.75,11.48
4.84,3.82,0.76,0.02,5.18,11.2
7.04,NA,4.85,1.7,7.61,4.17
5.91,2.77,4.53,1.44,1.61,NA
6.13,NA,3.2,0.86,3.76,NA
5.95,NA,4.08,0.99,7.3,3.09
6.18,2.62,3.99,0.97,2.91,NA
5.89,NA,4.02,1.72,4.76,11.99
6.93,NA,6.61,2.65,4.92,5.08
6.21,NA,3.16,1.01,2.11,NA
5.45,2.88,4.1,1.69,1.02,0.53
6.14,NA,5.89,2.32,4.2,14.5
6.17,NA,5.65,2.32,3.61,NA
7.5,NA,5.55,1.88,8.34,3.62
4.91,2.71,2.91,0.78,11.12,10.31
7.34,2.74,7.32,2.6,4.95,1.6
5.52,3.06,4.06,1.2,6.59,8.91
7.12,2.41,7.09,2.51,4.72,11.76
4.92,NA,1.3,0.3,7.41,5.16
6.22,NA,3.67,1.06,5.87,11.81
6.57,2.34,6.02,2.05,5.95,8.57
5.03,2.97,2.6,0.65,9.45,3.28
5.24,NA,2.26,0.96,1.05,NA
4.42,2.32,2.25,0.68,10.79,3.18
4.99,2.85,1.85,0.54,6.4,3.86
5.34,3.18,3.04,0.94,5.72,9.1
6.61,3.99,4.18,1.54,2.76,NA
3.63,NA,0.39,0.26,4.34,5.9
6.29,NA,3.96,1.49,6.49,10.08
5.74,2.24,6.19,2.38,3.25,NA
7.64,2.16,7.27,2.48,2.59,NA
6.26,2.33,6.33,1.92,7.34,14.17
6.08,3.34,5.16,2.01,3.82,NA
3.97,3.6,0.9,0.13,1.8,7.69
5.36,NA,2.64,0.92,2.46,NA
5.77,3.05,3.12,0.78,5.94,7.96
6.36,3.03,5.02,1.69,1.54,3.99
5.61,2.53,3.54,1.22,8.48,7.15
4.79,NA,1.47,0.62,3.68,NA
7.84,3.41,6.6,2.14,2.99,NA
6.54,3.01,5.32,1.97,1.85,8.77
5.68,2.99,4.33,1.35,0.01,10.97
6.65,NA,5.98,1.95,0.69,NA
4.59,NA,1.35,0.55,6,3.41
7.07,3.35,4.65,1.68,4.52,9.86
5.29,NA,2.8,1.05,3.8,NA
5.83,NA,5.11,1.84,4.28,4.17
5.45,2.54,3.88,0.83,0.3,9.78
6.15,NA,4.96,1.69,4.47,3.05
7.07,2.81,6,2.21,1.49,NA
5.31,2.58,3.93,1.27,1.81,2.4
7,3.62,5.57,1.67,9.2,4.52
5.16,NA,1.63,0.22,5.7,5.84
5.18,2.99,2.43,0.89,0.82,3.55
7.73,3.14,6.22,2.15,3.13,1.78
6.02,2.91,4.5,1.37,3.86,NA
3.5,2.95,0.44,0.3,2.28,NA
5.14,2.97,1.37,0.23,1.14,6.55
6.03,2.94,3.35,0.82,4.79,4.05
6.57,2.5,5.23,1.78,7.96,9.6
6.02,3.01,3.66,0.65,5.91,10.31
6.03,2.68,4.86,1.87,4.2,3.49
6.43,NA,5.5,1.79,6.55,10.5
7.46,2.38,6.61,2.17,8.18,1.12
6.29,NA,3.87,0.91,4.44,4.62
6.26,3.51,3.59,0.97,6.82,1.56
4.57,3.74,0.67,0.04,0.42,NA
5.89,2.52,3.9,1.26,4,11.27
5.91,4,2.53,1,3.32,NA
5.69,NA,1.86,0.52,5.78,7.98
5.94,3.31,3.27,1.28,6.43,2.31
6.58,NA,5.6,1.77,4.51,6.79
4.39,4.01,0.14,0.11,1.94,8.52
5.26,2.79,3.08,0.89,1.28,9.44
6.09,NA,4,0.94,6.11,2.11
5.31,3.19,2.1,0.61,10.43,9.75
6.21,2.31,4.27,1.34,1.85,0.42
6.12,2.75,4.44,1.57,3.46,12.95
6.01,3.18,3.69,1.03,6.32,2.81
3.8,3.54,0.52,0.56,2.78,NA
7.45,2.48,8.26,3.43,5.49,7.27
5.71,NA,3.39,0.99,4.81,1.75
6.45,NA,4.8,1.87,1.89,NA
5.52,2.96,4.37,1.61,8.33,6.13
6.42,2.27,5.55,2.02,8.39,9.27
6.43,2.75,5.27,1.62,9.1,6.87
5.57,3.12,3.37,1.22,10.07,9.47
6.08,NA,4.48,1.41,2.97,NA
4.23,NA,2.47,0.38,3.14,NA
6.1,3.11,5.42,1.9,6.04,4.59
5.5,3.25,2.93,0.93,7.52,8.11
8.32,3.67,7.76,3.15,3.64,NA
4.94,4.1,0.86,0.18,3.31,NA
5.39,3.3,3.04,0.78,2.53,3.52
6.41,2.82,5.11,2.08,10.93,6.71
5.9,3.11,4.74,1.73,5.03,3.68
5.33,2.67,2.73,0.7,4.33,9.63
5.32,3.14,2,0.23,5.15,3.45
5.45,NA,4.15,1.41,0.76,NA
6.15,3.37,3.65,1.15,6.54,9.16
4.89,3.81,0.5,0.15,2.87,5.95
6.14,3.63,3.74,1.27,8.82,10.82
5.6,2.91,4.21,1.43,1.65,5.66
5.89,3.16,4.28,0.93,3.81,NA
4.95,2.81,1.82,0.62,1.95,8.11
6.36,2.99,4.44,1.76,5.65,7.69
6.83,3.26,6.24,2.23,2.39,3.61
6.22,NA,4.55,1.57,2.76,NA
5.43,NA,1.53,0.67,6.33,0.73
5.95,NA,2.82,0.95,0.76,NA
6.45,NA,4.17,1.72,4.66,8.73
4.83,2.99,2.81,0.77,6.99,5.04
4.46,NA,0.27,0.02,11.54,1.19
6.12,2.74,5.48,1.81,6.92,14.63
4.82,2.57,2.36,0.69,11.86,8.81
5.5,NA,2.72,0.77,6.81,13.79
6.81,NA,6.47,2.31,4.99,10.85
5.81,NA,2.27,0.53,4.03,3.55
6.53,NA,5.27,1.82,0.1,NA
4.99,NA,1.42,0.44,3.72,NA
5.5,3,3.15,0.95,7.85,8.96
6.13,3.25,3.53,1.07,3.71,12.49
4.14,NA,1.91,0.44,7.17,2.32
5.51,3.34,2.63,0.66,0.74,1.19
6.12,2.71,3.75,0.7,3.9,9.53
6.37,2.47,4.95,1.54,5.87,0.07
4.54,3.44,1,0.27,3.56,NA
5.77,3.38,3.19,0.71,5.45,8.29
6.21,NA,5.23,1.49,2.32,NA
5.19,2.29,2.98,0.43,6.5,7.42
6.08,2.96,4.14,1.32,4.68,6.42
6,2.8,4.57,1.87,4.81,3.87
5.71,3.42,4.37,1.49,2.8,5.83
6.03,NA,4.96,1.76,2.31,NA
5.93,3.7,3.41,1.4,0.96,NA
4.72,NA,3.3,0.88,1.42,NA
4.05,NA,0.94,0.76,3.02,NA
6.23,3.61,3.42,1.22,4.36,12.91
6.41,2.98,4.49,1.34,6.13,4.53
6.19,2.91,4.73,1.57,9.37,8.97
4.77,NA,2.92,1.03,6.78,2.19
6.99,2.3,6.96,2.42,9.05,10.63
6.04,2.93,4.31,1.3,2.89,7.38
6.57,3.35,3.85,1.05,3.77,11.78
7.1,3.11,5.79,2.38,9.34,0.07
5.34,3.27,2.42,0.83,5,7.98
4.53,2.37,3.26,0.96,1.72,7.18
8.36,3.17,7.89,2.57,1.61,NA
5.45,2.68,3.9,1.22,9.03,5.08
7.45,NA,6.47,2.39,2.56,NA
4.25,2.69,1.34,0.24,6.33,4.22
5.82,3.76,3.41,1.14,5.06,4.28
6.2,2.81,4.36,1.51,3.01,6.1
6.3,3.53,4.22,1.47,3.6,NA
4.87,2.84,2.13,0.25,6.57,4.17
5.48,NA,3.87,1.25,5.84,10.44
4.41,2.54,1.92,0.72,9.94,12.61
6.25,NA,5.03,1.7,4.2,10.46
6.34,1.91,5.78,1.83,1.31,NA
3.55,NA,0.02,0.28,5.66,7.27
6.77,NA,5.89,2.23,7.82,6.39
